// Modified for RealityIV ENB by DKT70 - Dec 2011. These settings have been edited to unify all light throughout the entire map.
// The timecyclemodifiers can be used to alter some of the timecycle settings depending on the
// area that the camera is in.
// There are boxes set up on the map to limit the far clip or to create an orange glow
// Interiors/portals also use these modifiers.
// For Testing Only -           MinFarClip     MaxFarClip     MinFogStart     MaxFogStart     AmbientLight0 (RGBAM)   AmbientLight1 (RGBAM)     DirectionalLight(RGBAM)     Ped Shadow          Fog(RGBA)     NearFog(RGBA)   FogMultiplier  Near Fog     Axis     Temperature     PostFxStrength     Exposure     Exposure     Multiplier     BrightPassThreshold      MidGreyValue     IntensityBloom     ColourCorrect     ColourAdd     Desaturation     Contrast     Gamma     DesaturationFar     ContrastFar     GammaFar     DepthFxNear      DepthFxFar     LumMin    LumMax     LumAdaptDelay   GlobalReflection   MinFarDOF     MaxFarDOF     MinNearDOF     MaxNearDOF     NearBlurDOF     MidBlurDOF     FarBlurDOF     WaterReflection     ParticleHDR     AmbientOcclusionMult      SpecularPed     SkyMultiplier   Ped_AO  NearFogAmount
//                                   0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           25 25 25           0  0  0           1.00            1.0        1.0          1.00               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0z

// Line Number                       1              2               3              4                 5                      6                           7                         8                9               10              11          12          13         14                15               16           17            18                19                    20                21                 22               23             24             25         26            27                28             29              30              31           32         33            34             35                36           37             38             39             40             41               42             43                 44                  45                    46               47          48       49
// Name                         MinFarClip     MaxFarClip     MinFogStart     MaxFogStart     AmbientLight0 (RGBAM)   AmbientLight1 (RGBAM)     DirectionalLight(RGBAM)     Ped Shadow          Fog(RGBA)     NearFog(RGBA)   FogMultiplier  Near Fog     Axis     Temperature     PostFxStrength     Exposure     Exposure     Multiplier     BrightPassThreshold      MidGreyValue     IntensityBloom     ColourCorrect     ColourAdd     Desaturation     Contrast     Gamma     DesaturationFar     ContrastFar     GammaFar     DepthFxNear      DepthFxFar     LumMin    LumMax     LumAdaptDelay   GlobalReflection   MinFarDOF     MaxFarDOF     MinNearDOF     MaxNearDOF     NearBlurDOF     MidBlurDOF     FarBlurDOF     WaterReflection     ParticleHDR     AmbientOcclusionMult      SpecularPed     SkyMultiplier   Ped_AO  NearFogAmount
noambient                            0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           25 25 25           0  0  0           1.00            1.0        1.0          1.00               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
NoAmbientmult                        0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           25 25 25           0  0  0           1.00            1.0        1.0          1.00               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
qwnomoon                             0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           25 25 25           0  0  0           1.00            1.0        1.0          1.00               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
qw2nomoon                            0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           25 25 25           0  0  0           1.00            1.0        1.0          1.00               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
Brook_S2_TC                        -1.0          -1.0               0              0          130 140 150 200 7.0  150 150 150 200 4.0          0   0   0 255  0                 0.40           0  0  0  0     0  0  0  0                                   1          10              0                -1.0         -1.0          -1.0               1.0                  -1.0              -1.0           25 25 25          0  0  0           1.00            1.0        1.0          1.00               1.0           0.85              0               0           1.0       1.0           0.0           0.800              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                 0.94                 -1.0             -1.0         1.2       0
MH_NOMOON                            0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           25 25 25           0  0  0           1.00            1.0        1.0          1.00               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
KsS1nomoon1                          0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           25 25 25           0  0  0           1.00            1.0        1.0          1.00               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
KsS1nomoon2                          0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           25 25 25           0  0  0           1.00            1.0        1.0          1.00               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
KsS1nomoon3                          0              0               0              0          0   0   0   0  0      0   0   0   0  0            0   0   0   0  0                 1.00           0  0  0  0     0  0  0  0                                   0          10              0                -1.0         -1.0          -1.0              -1.0                  -1.0              -1.0           25 25 25           0  0  0           1.00            1.0        1.0          1.00               1.0           1.00              0               0           1.0       1.0           0.0            -1.0              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                -1.0                  -1.0             -1.0          0        0
Brook_N_gden                       -1.0          -1.0               0              0          130 140 150 200 7.0  150 150 150 200 4.0          0   0   0 255  0                 0.40           0  0  0  0     0  0  0  0                                   1          10              0                -1.0         -1.0          -1.0               1.0                  -1.0              -1.0           25 25 25          0  0  0           1.00            1.0        1.0          1.00               1.0           0.85              0               0           1.0       1.0           0.0           0.800              -1.0         -1.0            0.0            0.0            0.0           -1.0             -1.0           -1.0               -1.0                 0.94                 -1.0             -1.0         1.2       0
