/ / / / / / / / / / 																			Grand Theft Auto IV Timecycle File by Rockstar Games @ Edited For Liberty Visual by orangebrains // DO NOT REDISTRIBUTE																																																																																																																																																																																	
																																																																																																																																																																																																																																						
/ / / / / / / / / / EXTRASUNNY																																																																																																																																																																																																																															
//Amb0            Amb1            Dir            Sky top        Sky bot        SunCore        SunCorona     SunSz     SprBght     FarClp     FogSt     LowCloudsRGB     BottomCloudRGB     WaterRGBA      Exposure     BPThreshold     MidGreyValue     IntensityBloom     ColourCorrectRGB     ColourAddRGB     Desaturation     Contrast     Gamma     DesaturationFar     ContrastFar     GammaFar     DepthFxNear     DepthFxFar     LumMin     LumMax     LumDelay     CloudAlpha     DirLightMult     AmbLightMult0     AmbLightMult1     SkyLightMult     SunMult     Temperature   Far DOF     Near DOF     Near Blur DOF     Mid Blur DOF     Far Blur DOF     Water Reflection    Particle HDR    Sprite Size     Global Sun Multiplier     Ambient Occlusion Scaler																																											
//Midnight																																																																																																																																																																																																																																				
	120	94	75	140	114	85	160	133	95	175	124	97	86	66	50	0	0	0	0	0	0	1.20	2.50	2500.00	25200.00	35	9	10	26	30	36	43	48	54	154	0.24	2.15	0.50	1.50	112	88	58	0	0	0	3.15	0.01	1.00	1.00	1.00	1.50	15.75	182.64	19.88	256.00	0.00	0	0.11	1.24	1.48	0.16	0.00	18	0.300	0.280	0.200	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.050	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.498	0.750	2.000	1.000	1.000	0.200	2.00	1.000	1.000
//5AM																																																																																																																																																																																																																																				
	120	94	75	140	114	85	160	133	95	175	124	97	86	66	50	41	39	39	41	39	39	1.20	2.50	2500.00	25000.00	35	9	10	26	30	36	45	45	45	168	0.24	2.15	0.65	1.50	112	88	58	0	0	0	3.15	0.01	1.00	1.00	1.00	1.50	15.79	174.12	16.93	256.00	0.03	0	0.11	1.24	1.48	0.16	0.00	18	0.300	0.280	0.200	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.050	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.141	0.428	1.000	1.000	2.000	1.000	1.000	0.200	2.00	1.000	1.000
//6AM																																																																																																																																																																																																																																				
	96	125	160	129	124	129	162	123	98	54	68	73	32	34	36	255	255	255	255	255	255	1.00	1.00	2500.00	25000.00	113	115	113	106	105	102	56	30	3	239	0.20	1.85	0.35	0.20	190	167	150	0	0	0	2.85	0.01	1.00	1.00	1.00	1.00	16.01	131.49	2.19	254.89	0.17	71	9.13	5.24	7.31	9.07	0.00	17	0.300	0.363	0.452	0.517	1.000	0.250	-0.450	0.500	0.250	-0.250	0.000	0.000	0.000	1.000	2.500	3.050	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.690	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.216	1.000	1.061	1.000	1.000	1.000	1.000	0.900	2.00	1.000	1.000
//7AM																																																																																																																																																																																																																																				
	96	125	160	155	135	102	213	145	43	122	116	90	163	173	177	255	255	255	255	255	255	1.00	1.00	2500.00	25000.00	119	120	120	105	105	105	10	6	2	239	0.20	1.65	0.15	0.15	190	167	150	0	0	0	2.50	0.01	1.00	1.00	1.00	1.00	15.99	127.95	1.46	255.92	0.17	77	11.48	8.14	9.22	10.14	0.00	18	0.300	0.410	0.540	0.745	1.000	0.250	-0.450	0.450	0.200	-0.200	0.000	0.000	0.000	1.000	2.000	3.500	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.585	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.225	1.000	1.050	1.000	1.000	1.000	1.000	0.600	2.00	1.000	1.000
//9AM																																																																																																																																																																																																																																				
	89	123	166	143	132	112	197	141	58	95	56	36	127	82	37	255	255	255	255	255	255	1.00	1.00	2500.00	805.00		58	72	40	199	230	196	6	14	18	240	0.20	1.60	0.10	0.15	206	162	134	0	0	0	2.35	0.01	1.00	1.00	1.00	1.00	16.00	128.00	1.53	256.00	0.10	217	12.23	9.24	11.08	11.24	00.00	23	0.300	0.423	0.532	0.647	0.950	0.550	-0.400	0.500	0.250	0.000	1.000	1.000	1.000	1.000	3.000	0.250	1.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.940	0.710	0.360	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.200	1.000	1.000	0.800	1.000	1.000	1.000	0.700	2.00	1.000	1.000
//Midday																																																																																																																																																																																																																																					
